AH0325_v1_c2	G1	416619	IncFII,IncFIB,rep_cluster_1150	MOBF,MOBH	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0325_v1_c4	G1	52432	IncN	MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AH0326_v1_c3	G1	166085	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0327_v1_c3	G1	167530	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0329_v1_c2	G1	148756	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0330_v1_c2	G1	170150	IncFII,IncR,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0330_v1_c3	G1	158474	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AH0331_v1_c2	G1	211840	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2583_v1_c2	G1	178106	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2583_v1_c3	G1	51133	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2584_v1_c2	G1	208817	IncFIB,IncFIA,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2585_v1_c2	G1	247179	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2586_v1_c2	G1	227897	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2587_v1_c2	G1	202067	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2587_v1_c3	G1	47164	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2588_v1_c2	G1	204647	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2588_v1_c3	G1	113639	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2589_v1_c2	G1	165967	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2590_v1_c3	G1	51265	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2591_v1_c2	G1	227315	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2591_v1_c4	G1	51097	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2592_v1_c2	G1	225970	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2594_v1_c2	G1	201175	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2595_v1_c2	G1	188579	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2596_v1_c2	G1	234882	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2597_v5_c2	G1	228143	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2597_v5_c4	G1	53791	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2598_v1_c2	G1	109001	IncFIIA,IncFIA,IncFII	MOBF	MPF_F	MOBF	Conjugative	Escherichia	coli
AI2599_v1_c2	G1	174527	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2600_v1_c2	G1	188493	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2601_v1_c2	G1	227377	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2603_v1_c2	G1	213041	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2603_v1_c3	G1	40343	IncR	MOBP,MOBF	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2604_v1_c2	G1	143831	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2604_v1_c3	G1	108400	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2605_v1_c2	G1	227302	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2606_v1_c3	G1	164038	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2607_v1_c2	G1	173168	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2608_v2_c2	G1	195692	IncFIB,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2610_v1_c2	G1	202067	IncFIB,IncFII,IncFII	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
AI2610_v1_c3	G1	37110	IncR	MOBF,MOBP	MPF_T	MOBF	Conjugative	Klebsiella	pneumoniae
AI2612_v1_c2	G1	190815	IncFII,IncFII,IncFIB	MOBF	MPF_F	-	Conjugative	Klebsiella	pneumoniae
